name,ja,en
fesTower.bonus.activeBonusListPop.tab.tabTourBonus,ツアー中,On Tour
fesTower.bonus.activeBonusListPop.tab.tabSpecialBonus,特別ボーナス,Special Bonus
fesTower.bonus.activeBonusListPop.listTitle.tourBonus,地方ボーナス,Local Bonus
fesTower.bonus.activeBonusListPop.listTitle.specialBonusProduceIdol,プロデュースアイドル,Produce Idol
fesTower.bonus.activeBonusListPop.listTitle.specialBonusSupportIdol,サポートアイドル,Support Idol
fesTower.levelUp.headerTitle,レベルアップ,Level Up
idolList.emptyRewardKnowHowBookMessage,獲得しているノウハウブックがありません,No Know-Hows owned.
idolList.emptyMessages.homeDeckEdit,所持しているMVアイドルがいません。,No MV Idols owned.
header.homeDeckMvSelect,MV選択,MV Select
header.jointFesFacility,施設一覧,Facilities List
header.jointFesTrophy,トロフィー,Trophy
header.jointFesRanking,ランキング,Ranking
header.fesTowerPanelUnit,パネルユニット編成,Organize Panel Unit
header.photoIdolChange,アイドル変更,Change Idol
header.jewelCounter,フェザージュエルミッション,Feather Jewel Mission
header.produceResultSkillAndBook,獲得報酬,Rewards Earned
homeDeck.displayType.mv,MVモード,MV Mode
homeDeck.mvAnother,(アナザーver.),(Another ver.)
homeDeck.mvTime,%{min}分%{sec}秒,%{min}m%{sec}s
homeDeck.presetSettingPop.title,アニメモード プリセット,Animation Mode Preset
homeDeck.presetSettingPop.presetLabel,プリセット%{presetNum},Preset%{presetNum}
jointFes.top.title,マッチライブ,Match Live
jointFes.bonusListPop.title,ボーナス一覧,Bonus List
jointFes.skip.listPopTitle,スキップ,Skip
jointFes.skip.confirmPopTitle,スキップ確認,Confirm Skip
jointFes.skip.resultPopTitle,スキップ結果,Skip Result
jointFes.facility.enhanceItemsTitle,施設強化アイテム一覧,List of Enhancement Items
jointFes.facility.enhanceTitle,施設強化,Facility Enhancement
jointFes.facility.enhanceConfirmTitle,強化確認,Confirm Enhancing
jointFes.facility.bonusInfoTitle,ボーナス詳細,Bonus Details
jointFes.facility.bonusInfoEmptyMessage,発動中のボーナスがありません,No active bonuses.
jointFes.facility.possessionItem,施設強化の際に必要なアイテム素材です,Items needed to enhance facility
jointFes.facility.confirmEnhance,以下のアイテムを消費し、施設を強化しますか？,Do you want to spend these items to enhance this facility?
jointFes.facility.noBonus,ボーナス無し,No bonus
jointFes.facility.noBonusMessage,発動中のボーナスがありません,No active bonus.
jointFes.stageSelect.title,ステージ選択,Select Stage
jointFes.stageInfoPop.title,ステージ詳細,Stage Details
jointFes.stageInfoPop.produceAreaSuffix,編,
jointFes.ranking.rankingEndAt,%{dateTime} まで,Until %{dateTime}
jointFes.ranking.announceRankingType.stage,ステージ\n順位,Stage\nRank
jointFes.ranking.announceRankingType.group,グループ\n順位,Group\nRank
jointFes.ranking.announceRankingType.event_point,ポイント\n順位,Point\nRank
jointFes.ranking.stageSelect.title,ステージ選択,Stage Select
jointFes.ready.title,マッチライブ詳細,Match Live Details
jointFes.ready.fesTicketNotice,フェス参加権を%{consumedFesTicket}消費します,%{consumedFesTicket} Fes Entries will be used.
jointFes.ready.unitEmptyPop.title,確認,Confirm
jointFes.ready.unitEmptyPop.message,マッチライブユニットに空きがあるため\nライブを開始できません。,
jointFes.seasonChange.title,マッチライブ更新,Match Live Update
jointFes.seasonChange.commonMessage,マッチライブのシーズンが切り替わりました\nイベントポイントやミッション・ショップなどがリセットされます,
jointFes.seasonChange.titleMessage,前シーズンのランキング報酬として以下を獲得しました,
jointFes.seasonChange.titleCategories.joint_fes_group_ranking,・総合ランキング称号ｘ1,・Overall Ranking Titleｘ1
jointFes.seasonChange.titleCategories.joint_fes_point_ranking,・累計ポイントランキング称号ｘ1,・Total Points Ranking Titleｘ1
jointFesConcert.scoreInfo.popTitle,スコア詳細,Score Info
jointFesConcert.scoreInfo.player,＜あなた＞,＜You＞
jointFesConcert.scoreInfo.rival,＜ライバル＞,＜Rival＞
jointFesConcert.scoreInfo.term,第%{termNumber}ターム,Term #%{termNumber}
jointFesConcert.scoreInfo.termLastScore,第%{termNumber}ターム最終スコア,Term #%{termNumber} Final Score
jointFesConcert.scoreInfo.result,最終結果,Final Results
jointFesConcert.scoreInfo.skillEmptyText,発動スキル無し,No Active Skills
jointFesConcert.scoreInfo.tapToScrollMessage,▲タームをタッチで該当のタームまでスクロールします▲,
jointFesConcert.scoreDetailLabel.appealPoint,アピール値変換後ポイント,
jointFesConcert.scoreDetailLabel.stageLevel,ステージLv,Stage Lv
jointFesConcert.scoreDetailLabel.musicRate,楽曲補性,Music Aptitude
jointFesConcert.scoreDetailLabel.musicStyleRate,楽曲スタイル適性,Music Style Aptitude
jointFesConcert.scoreDetailLabel.performanceRate,パフォーマンス適性,Performance Aptitude
jointFesConcert.scoreDetailLabel.mentalRate,メンタル値補正,Mental Value Effect
jointFesConcert.scoreDetailLabel.fightSkillRate,発動スキルポイント補正,
jointFesConcert.scoreDetailLabel.fightSkillPoint,発動スキルポイント加算,
jointFesConcert.bonusScoreLabel.badAppeal,ライブスキル発動（bad）×%{count},Live Skill Activation（bad）×%{count}
jointFesConcert.bonusScoreLabel.normalAppeal,ライブスキル発動（normal）×%{count},Live Skill Activation（normal）×%{count}
jointFesConcert.bonusScoreLabel.goodAppeal,ライブスキル発動（good）×%{count},Live Skill Activation（good）×%{count}
jointFesConcert.bonusScoreLabel.perfectAppeal,ライブスキル発動（perfect）×%{count},Live Skill Activation（perfect）×%{count}
jointFesConcert.bonusScoreLabel.fightSkillNormal,ファイトスキル発動（normal）×%{count},Fight Skill Activation（normal）×%{count}
jointFesConcert.bonusScoreLabel.fightSkillGood,ファイトスキル発動（good）×%{count},Fight Skill Activation（good）×%{count}
jointFesConcert.bonusScoreLabel.fightSkillPerfect,ファイトスキル発動（perfect）×%{count},Fight Skill Activation（perfect）×%{count}
jointFesConcert.bonusScoreLabel.majorityWin,全体勝利,Overall Victory
jointFesConcert.bonusScoreLabel.allTermWin,全勝ボーナス,Complete Victory Bonus
jointFesConcert.bonusScoreLabel.bonusTotalPoint,ボーナスポイント合計,Total Bonus Points
musicSelect.playMvDialog.title,MV再生,Play MV
musicSelect.playMvDialog.message,再生するMVを選択してください,Select an MV to play
musicSelect.mvSettingDialog.title,詳細設定,Detailed Settings
musicSelect.mvSettingDialog.message,楽曲かMVを設定してください,Select a song or MV
musicSelect.mvReleaseAttention,アナザーverは特訓4回目で解放されます,Another ver. will be unlocked after the card's 4th Evolve.
photoMotionDialog.title,ポーズ指定,Select Pose
photoMotionDialog.message,アイドルに呼びかけてポーズを取ってもらうことができます,アイドルに呼びかけてポーズを取ってもらうことができます
photoBootFailDialog.title,カメラの許可,Camera Permission
filterPop.filter.individualityExpressionRateUp,発現確率,
filterPop.filter.individualityDefiniteExpression,ノウハウ,Know-How
filterPop.filter.individualityInheritanceRateUp,継承確率,Inherit Rate
photo.option.bg,背景,BG
photo.option.effect,エフェクト,Effect
photo.option.frame,フレーム,Frame
produceReady.produceAreaAttension.title,注意事項,
shop.purchasedCountLabelText.gameEvent.training_event_point,育成P,Train Pt
shop.purchasedCountLabelText.gameEvent.joint_fes_event_point,マッチライブP,Match Live Pt
shop.purchaseResult.expansionMessage,%{item}の所持上限を解放しました,%{item}'s owned limit has been increased.
shop.smallTabTitles.premium.beginners,新人P向け,For New P
shop.monthlyPassport.price,%{price}円,%{price} yen
shop.monthlyPassport.dailyRewardPop.title,ログイン報酬,Login Rewards
shop.monthlyPassport.dailyRewardPop.count,%{count}回目,
shop.monthlyPassport.dailyRewardPop.rewardJewelName,無償フェザージュエル,Free Feather Jewels
stepCommunicationReleaseDialog.title,S.T.E.P.編のコミュ解放,S.T.E.P. Commu Unlocked
stepCommunicationReleaseDialog.message,新たなS.T.E.P.編のコミュが解放されました！,A new S.T.E.P. commu has been unlocked!
stepCommunicationReleaseDialog.notice,S.T.E.P.編のコミュはアルバムで読む事ができます,You can now view the\nS.T.E.P. commu in your Album.
workActivityTalkAndCommu.categories.notCleared,未CLEAR,Not Cleared
producerDesk.costume.costumeName,%{costumeName}の衣装,%{costumeName}'s outfit
producerDesk.costume.towLinesCostumeName,%{anotherName}\n%{idolName}の衣装,%{anotherName}\n%{idolName}'s outfit
producerDesk.releaseCondition.step,S.T.E.P.を解放する為には「W.I.N.G.編」で\nシーズン1をクリアし、フェスアイドルを\n誕生させる必要があります。,"To unlock S.T.E.P., you must clear\nSeason 1 in ""W.I.N.G.""\nand create a Fes idol."
jewelCounter.sortTitle,並び替え,Sort
jewelCounter.typeText.daily,デイリー,Daily
jewelCounter.typeText.weekly,ウィークリー,Weekly
jewelCounter.typeText.normal,ノーマル,Normal
jewelCounter.typeText.special,スペシャル,Special
jewelCounter.typeText.event,イベント,Event
seasonalPresentPop.title,年賀状受け取り,
seasonalPresentPop.message,アイドルからの年賀状が届いています,アイドルからの年賀状が届いています
unitName.8,コメティック,CoMETIK
unitName.91,B小町,B Komachi
unitName.92,劇団ララバイ,Lalalai Theatrical Company
filter.bulkSelectTitle,一括選択,Bulk Select
filter.subTitle.individualityDetail,絞り込みノウハウ選択,絞り込みノウハウ選択
filter.categories.mvIdol,MV,MV
filter.categories.knowHowLevelCount,ノウハウレベル,Know-How Level
filter.categories.individualityDetail,詳細検索,詳細検索
filter.categories.knowHowBookMark,ノウハウブックマーク,Know-How Bookmark
filter.categories.collaborationIdol,コラボアイドル,Collab Idol
filter.categories.foil,フォイル化アイドル,Foiled Idol
filter.categories.fesMatchHonor,種類,種類
filter.categories.fesIdolRank,アイドルランク,Idol Rank
filter.categories.memoryAppealLevel,思い出レベル,Memory Level
filter.categories.statusRank,ステータスランク,Status Rank
letterFromIdol.title,アイドルからの手紙,Letter from the Idol
letterFromIdol.staffComment,みなさんから頂いた手紙を読んでみましょう〜,Let's read the letters we received from everyone〜
letterFromIdol.voiceLockMessage,アイドルを★4にすると\nアイドルが手紙を読み上げてくれます,アイドルを★4にすると\nアイドルが手紙を読み上げてくれます
letterFromIdol.getDateLetterReceivedFormat,yyyy/mm/dd,yyyy/mm/dd
miniGamePortal.staffComment1,あ、プロデューサーさん、アイドル達に会いに来てくれたんですね,"Ah, Producer, you came to meet the idols. "
miniGamePortal.staffComment2,みんながプロデューサーさんを待っていますよ～,"Everyone's been waiting for you, Producer-san～"
miniGamePortal.staffComment3,アイドルのみなさんと遊びながらコミュニケーションをとりましょう～,Let's have some fun and communicate with the idols～
miniGamePortal.staffComment4,大富豪、懐かしいですね～,"Daifugo, how nostalgic～"
miniGamePortal.staffComment5,ミニゲームが遊べますよ～,Let's play the minigame～
tutorial.skipPop.messageSkipAll,チュートリアルをすべてスキップします\nよろしいですか？,This will skip the entire Tutorial.\nAre you sure?
tutorial.unitDescription.8,突如として飛来した、新時代のアイドルユニット。\n黒を纏い、カラーに囚われない少女たち。\n彗星の軌跡[ストーリー]が示すのは、闇か光か、はたまた──,"The idol unit of a new era that suddenly came flying in.\nDecorated in black, these girls are not imprisoned by color.\nWill the ""story"" of the comet's trajectory show us light?\nDark? Or perhaps..."
idolList.knowHowCount,ノウハウ数,Number of Know-How
idolList.knowHowBoolMarkSelectDialog.title,ノウハウブックマーク,Know-How Bookmark
idolList.knowHowRedrawDialog.title,ノウハウのリロード,Reroll Know-How
idolList.knowHowRedrawDialog.redrawCount,/ %{maxRedrawCount}回目,/ %{maxRedrawCount} times
idolList.knowHowRedrawHistoriesDialog.title,リロード済ノウハウ,Rerolled Know-How
idolList.knowHowRedrawHistoriesDialog.redrawCount,/ %{maxRedrawCount}回目,/ %{maxRedrawCount} times
idolList.knowHowDeleteDialog.title,ノウハウの削除,Delete Know-How
idolList.knowHowExpressDialog.title,ノウハウ選択,Select Know-How
idolList.knowHowResultDialog.title.redraw,リロード結果,Rerolling Results
idolList.knowHowResultDialog.title.delete,削除結果,Delete Results
idolList.knowHowResultDialog.title.add,発現結果,Add Results
idolList.knowHowResultDialog.comment.redraw,以下のノウハウにリロードされました！,Rerolled with the following Know-How!
idolList.knowHowResultDialog.comment.delete,以下のノウハウが削除されました,The following Know-How has been removed
idolList.knowHowResultDialog.comment.add,以下のノウハウが発現しました！,The following Know-How has been added!
idolList.knowHowUneditablePop.redrawImpossibleToProduce,プロデュースに使用している為、\nリロードは行えません,"Currently in use for Producing,\nit cannot be rerolled."
idolList.knowHowUneditablePop.deleteImpossibleToProduce,プロデュースに使用している為、\n削除は行えません,"Currently in use for Producing,\nit cannot be deleted."
filter.cautions.knowHowLevelCount,チェックしたレベルのノウハウを指定した個数持つノウハウブックが絞り込まれます,チェックしたレベルのノウハウを指定した個数持つノウハウブックが絞り込まれます
filter.cautions.individualityDetail,条件を満たしているノウハウを持つノウハウブックが絞り込まれます,条件を満たしているノウハウを持つノウハウブックが絞り込まれます
filter.cautions.knowHowBookMark,ノウハウブック一覧の詳細から好きなマークを設定できます,ノウハウブック一覧の詳細から好きなマークを設定できます
filter.texts.inspirations.vocal,Vo.,Vo.
filter.texts.inspirations.visual,Vi.,Vi.
filter.texts.inspirations.dance,Da.,Da.
filter.texts.inspirations.mental,Me.,Me.
filter.texts.status.vocal,Vocal,Vocal
filter.texts.status.visual,Visual,Visual
filter.texts.status.dance,Dance,Dance
filter.texts.status.mental,Mental,Mental
filter.texts.knowHowLevelCount.countRange.limited,%{min}〜%{max}個,%{min}〜%{max} pcs
filter.texts.knowHowLevelCount.countRange.unlimited,%{min}個以上,%{min} or more
filter.texts.individualityDetail.skill,ノウハウ%{num},Know-How%{num}
filter.texts.individualityDetail.notSet,未設定,未設定
filter.texts.individualityDetail.all,すべて,All
filter.texts.foil,フォイル化あり,With Foil
filter.texts.fesMatchHonorTextType.all,すべて,All
filter.texts.fesMatchHonorTextType.normal,通常,通常
filter.texts.fesMatchHonorTextType.event,イベント,Event
characterAlbum.commu.emptyNotice,確認できる共通コミュはありません,確認できる共通コミュはありません
characterAlbum.pIdol.emptyNotice,プロデュースアイドルはいません,There are no Produce Idols.
characterAlbum.sIdol.emptyNotice,サポートアイドルはいません,There are no Support Idols.
characterAlbum.idolCommuListPop.title,アイドルコミュ,Idol Commu
characterAlbum.commuEndPop.title,コミュ閲覧,View Commu
autoPlay.produceSelectPopTitle,プロデュース選択,プロデュース選択
autoPlay.growthPolicySelectPop.title,育成方針選択,育成方針選択
autoPlay.growthPolicySelectPop.notice,%{growth}に関するスキルパネルを優先的に解放し、\n%{growth}のステータスアップを中心に育成します,%{growth}に関するスキルパネルを優先的に解放し、\n%{growth}のステータスアップを中心に育成します
autoPlay.growthPolicySelectPop.vocal,Vocal,Vocal
autoPlay.growthPolicySelectPop.dance,Dance,Dance
autoPlay.growthPolicySelectPop.visual,Visual,Visual
autoPlay.produceStartPop.title,オートプロデュース開始,Start Auto Produce
autoPlay.produceStartPop.text,設定したプロデュースアイテムとスタミナを\n消費してオートプロデュースを開始しますか？,Do you want to use these Produce Items\nand Stamina and start Auto Produce?
autoPlay.produceStartPop.notice,オートプロデュースを実行した際に\nアイテムとスタミナが消費されます\nオートプロデュースを中止した場合、\n実行中および準備中のアイテムとスタミナは返却されます,"When Auto Produce has begun,\nItems and Stamina will be consumed.\nIf Auto Produce is cancelled,\nItems and Stamina will be refunded."
autoPlay.produceStartWithItemPop.title,オートプロデュース開始,Start Auto Produce
autoPlay.produceStartWithItemPop.text,回復アイテムをセットして\nオートプロデュースを開始します,回復アイテムをセットして\nオートプロデュースを開始します
autoPlay.produceStartWithItemPop.notice,オートプロデュースを実行した際にアイテムとスタミナが消費されます\nオートプロデュースを中止した場合、実行中および準備中のアイテムとスタミナは返却されます,オートプロデュースを実行した際にアイテムとスタミナが消費されます\nオートプロデュースを中止した場合、実行中および準備中のアイテムとスタミナは返却されます
autoPlay.skipPop.title,オートスキップ,Auto Skip
autoPlay.skipPop.notice1,スキップチケットは1日%{availableCount}回までしか使用できません,Skip Tickets can only be used %{availableCount} per day.
autoPlay.skipPop.notice2,使用回数は毎朝5時にリセットされます,The amount of times is reset every day at 05:00 JST.
autoPlay.skipPop.remaining,残り,left
autoPlay.skipPop.remainingUnit,回 / 日,x / day
autoPlay.skipedPop.title,オートスキップ,Auto Skip
autoPlay.skipedPop.comment,オートプロデュースを\n%{num}回分スキップしました,Skipped Auto-Produce\n%{num} times
autoPlay.produceConfirmPop.title,オートプロデュース確認,Confirm Auto-Produce
autoPlay.produceConfirmPop.notice,オートスケジュールを設定中です,Auto Schedule is in progress.
autoPlay.produceConfirmPop.finished,完了,Done
autoPlay.produceConfirmPop.ready,準備中,Queued
autoPlay.produceConfirmPop.playing,実行中,Playing
autoPlay.produceConfirmPop.produceTitle.wing,W.I.N.G.,W.I.N.G.
autoPlay.produceConfirmPop.produceTitle.fan_meeting,ファン感謝祭,FanFest
autoPlay.produceConfirmPop.produceTitle.3rd_produce_area,G.R.A.D.,G.R.A.D.
autoPlay.produceConfirmPop.produceTitle.4th_produce_area,Landing Point,Landing Point
autoPlay.produceConfirmPop.produceTitle.5th_produce_area,S.T.E.P.,S.T.E.P.
autoPlay.releasedRequirementDescription.wing,ミドルの『W.I.N.G.』編でフェスアイドルを優勝させる,"Win ""W.I.N.G."" on Middle difficulty"
autoPlay.releasedRequirementDescription.fan_meeting,『ファン感謝祭』編でフェスアイドルを誕生させる,"Create a Fes Idol in ""Thanks Flapping Day"""
autoPlay.releasedRequirementDescription.3rd_produce_area,『G.R.A.D.』編でフェスアイドルを誕生させる,"Create a Fes Idol in ""G.R.A.D."""
autoPlay.releasedRequirementDescription.4th_produce_area,『Landing Point』編でフェスアイドルを誕生させる,"Create a Fes Idol in ""Landing Point"""
autoPlay.releasedRequirementDescription.5th_produce_area,『S.T.E.P.』編でフェスアイドルを誕生させる,"Create a Fes Idol in ""S.T.E.P."""
autoPlay.produceFinishConfirmPop.title,オートプロデュース終了確認,Auto-Produce is complete.
autoPlay.produceFinishConfirmPop.comment1,設定中のオートスケジュールをすべて終了して\n新たなアイドルをプロデュースします,Ends current schedule and produces Fes idols.
autoPlay.produceFinishConfirmPop.comment2,実行中のオートプロデュースのデータは失われます,Current Produce runs will be cancelled.
autoPlay.produceFinishConfirmPop.comment3,実行中および準備中のオートプロデュースの\nプロデュースアイテムとスタミナは返却されます,Produce Items and Stamina will be refunded.
autoPlay.itemReturnPop.title,アイテム返却,Item Refund
autoPlay.itemReturnPop.comment,以下のアイテムが返却されました,The following Items were refunded
autoPlay.schedulesFinishPop.title,オートプロデュース終了,Auto Produce has finished.
autoPlay.schedulesFinishPop.comment,オートプロデュースが全て完了しました,All Auto Produce runs have completed.
autoPlay.nothingCompletedPop.title,オートプロデュース終了,Auto Produce has finished.
autoPlay.nothingCompletedPop.comment,完了したオートプロデュースはありません,No completed Auto Produce runs.
autoPlay.releaseCondition.title,解放条件,Unlock Details
autoPlay.releaseCondition.condition,オートプロデュースを解放する為には\n以下の条件が必要です\n\n・初心者ミッションをクリア\n・『W.I.N.G.』編のミドルで優勝するもしくは、\n他のプロデュースでフェスアイドルを誕生させる,"In order to unlock Auto Produce\nthe following conditions must be met\n\n・Clear Beginner Missions\n・Win ""W.I.N.G."" on Middle difficulty\nor create a Fes idol on other modes"
autoPlay.resultAcquiredFanIdolName,【%{idolName}】獲得ファン数,【%{idolName}】Acquired Fans
autoPlay.updateSchedulePop.title,オート終了確認,Auto End Confirmation
autoPlay.updateSchedulePop.comment,オートスケジュールの状況が更新されています\n\n再度オートスケジュールの設定を表示しなおします,Auto Schedule status is being updated\n\nDisplaying the Auto Schedule settings again
autoPlay.skipLimitPop.title,スキップ制限,Skip Limit
autoPlay.skipLimitPop.comment,本日はこれ以上\nスキップチケットを使用できません,Can't use more\nSkip Tickets today.
autoPlay.skipLimitPop.notice1,スキップチケットは1日%{availableCount}回までしか使用できません,Skip Tickets can only be used %{availableCount} per day.
autoPlay.skipLimitPop.notice2,使用回数は毎朝5時にリセットされます,The amount of times is reset every day at 05:00 JST.
survey.questionOrder,設問 %{order},設問 %{order}
survey.confirmTitle,アンケート回答確認,アンケート回答確認
survey.answerNoticeOnce,回答は一度しかできません,回答は一度しかできません
survey.answerNoticeDaily,回答は1日1度しかできません,回答は1日1度しかできません
survey.answeredTitle,回答完了,Survey Complete
survey.answeredMessage,アンケートに回答しました,The survey has been completed.
survey.aggregatingMessage,集計中です,集計中です
survey.aggregatedMessage,回答は締め切りました 結果はお知らせをご確認ください,回答は締め切りました 結果はお知らせをご確認ください
pickupContents.expiredPop.title,確認,確認
pickupContents.expiredPop.announceClosedText,該当の詳細の期限は終了しました,該当の詳細の期限は終了しました
pickupContents.expiredPop.contentClosedText,該当のコンテンツの期限は終了しました,該当のコンテンツの期限は終了しました
limitedFesTop.closeText,期間終了,期間終了
limitedFesTop.closeDate,%{closeAt}まで,Closes at %{closeAt}
limitedFesTop.pyramid.self,自分,You
limitedFesTop.pyramid.rank,%{rank}位,Rk %{rank}
limitedFesTop.pyramid.score,%{score}人,%{score} fans
limitedFesTop.pyramid.nextPrefix,次のリーグまで,Until next League
limitedFesTop.hallDetailDialog.title.easy,Easyステージ,Easy Stage
limitedFesTop.hallDetailDialog.title.normal,Normalステージ,Normal Stage
limitedFesTop.hallDetailDialog.title.hard,Hardステージ,Hard Stage
limitedFesTop.periodsDialog.title,各フェーズ開催期間,各フェーズ開催期間
limitedFesTop.cantEntryDialog.title,参加条件,参加条件
limitedFesTop.cantEntryDialog.text,指定期間中にグレードLv.6以上に\n所属で参加することができます。\n詳しくはお知らせをご確認ください。,指定期間中にグレードLv.6以上に\n所属で参加することができます。\n詳しくはお知らせをご確認ください。
limitedFesTop.rankingChangeDialog.title,順位変動,順位変動
limitedFesTop.rankingChangeDialog.text,順位が%{rankBefore}位から%{rankAfter}位に変動しました,順位が%{rankBefore}位から%{rankAfter}位に変動しました
limitedFesTop.rankingRewardDialog.title,ランキング報酬,Ranking Rewards
limitedFesTop.receiveRewardDialog.title,報酬獲得,報酬獲得
limitedFesTop.receiveRewardDialog.text,以下のアイテムがプレゼントBOXに送られました\n※称号は直接付与されます,以下のアイテムがプレゼントBOXに送られました\n※称号は直接付与されます
limitedFesTop.receiveRewardDialog.labelLeague,・リーグ報酬,・リーグ報酬
limitedFesTop.receiveRewardDialog.labelRanking,・ランキング報酬,・ランキング報酬
limitedFesTop.resumeDialog.title,フェス再開,フェス再開
limitedFesTop.resumeDialog.text,進行中のフェスがあります。\nフェスを再開しますか？,進行中のフェスがあります。\nフェスを再開しますか？
limitedFesTop.resultAnnounce.period,yyyy年 m月  マスターズフェス,yyyy年 m月  マスターズフェス
limitedFesTop.resultAnnounce.staffComment.first,１位獲得、おめでとうございます～♪\nずっと努力を続けてきたからこその結果ですね～\nさすがです、プロデューサーさん,１位獲得、おめでとうございます～♪\nずっと努力を続けてきたからこその結果ですね～\nさすがです、プロデューサーさん
limitedFesTop.resultAnnounce.staffComment.higher,１位まであともう少しでしたね～……\n次のフェスではさらに上を目指せるように、\n私もサポート頑張りますので～,１位まであともう少しでしたね～……\n次のフェスではさらに上を目指せるように、\n私もサポート頑張りますので～
limitedFesTop.resultAnnounce.staffComment.middle,お疲れ様でした\nプロデューサーさんなら、次はもっと上を目指せます\n一緒に頑張っていきましょうね～,お疲れ様でした\nプロデューサーさんなら、次はもっと上を目指せます\n一緒に頑張っていきましょうね～
limitedFesTop.resultAnnounce.staffComment.lower,お疲れ様でした\n次回はトップ10入りを目指して\n頑張っていきましょう〜,お疲れ様でした\n次回はトップ10入りを目指して\n頑張っていきましょう〜
limitedFesTop.resultAnnounce.staffComment.common,お疲れ様でした\n次回のフェスも頑張っていきましょう〜,お疲れ様でした\n次回のフェスも頑張っていきましょう〜
limitedFesTop.terminateDialog.title,フェス終了,フェス終了
limitedFesTop.terminateDialog.text,進行中のフェスを終了します。,進行中のフェスを終了します。
limitedFesTop.terminateDialog.textWarning,フェス参加権は返却されません,フェス参加権は返却されません
limitedFesTop.idolBonuses.attributeDesc,%{attribute}基礎能力+%{upValue}%UP,%{attribute}基礎能力+%{upValue}%UP
limitedFesTop.idolBonuses.mentalDesc,メンタル基礎能力+%{upValue}%,メンタル基礎能力+%{upValue}%
limitedFesTop.idolBonuses.passiveDesc,パッシブスキル発動率+%{upValue}%UP,パッシブスキル発動率+%{upValue}%UP
limitedFesDeck.specialBonusIdolEmptyMessage,特別ボーナスを持つアイドルはいません,特別ボーナスを持つアイドルはいません
limitedFesTicketRecover.attention,フェーズ切り替わりの際\n上限を超えている参加権は破棄されます,フェーズ切り替わりの際\n上限を超えている参加権は破棄されます
limitedFesExceptionPop.title,マスターズフェス,Masters Fes
limitedFesExceptionPop.closePhaseText,フェーズが切り替わりました\n画面を更新します,フェーズが切り替わりました\n画面を更新します
limitedFesExceptionPop.closeEventText,マスターズフェスは終了しました,マスターズフェスは終了しました
limitedFesExceptionPop.changePhaseTitle,フェーズの更新,フェーズの更新
limitedFesExceptionPop.changePhaseText,フェーズが切り替わったため、\n今回のフェスの結果は集計されません,フェーズが切り替わったため、\n今回のフェスの結果は集計されません
limitedFesExceptionPop.changePhaseNotice,参加券も消費されません,参加券も消費されません
limitedFesReady.title,%{leagueName} (%{difficulty}),%{leagueName} (%{difficulty})
limitedFesReady.notice,テンション決定後は前の画面には戻れません,You can't go back after the Tension Check.
limitedFesResult.title,%{leagueName} %{difficulty},%{leagueName} %{difficulty}
limitedFesResult.appeal,アピール値,Appeal Value
limitedFesResult.appealValue,%{value}pt,%{value}pt
limitedFesResult.bonus,ボーナス,Bonus
limitedFesResult.bonusValue,×%{value},×%{value}
limitedFesResult.rankingValue,%{value}位,Rk %{value}
limitedFesResult.scoreValue,%{value}pt,%{value}pt
limitedFesResult.totalValue,%{value}人,%{value} fans
limitedFesResult.requiredScore,リーグ昇格まで,Required score for League Promotion
limitedFesResult.totalScoreNotice,※%{name}はスコアの上位%{selectedScoresNum}個がファン支持数になります,※%{name}はスコアの上位%{selectedScoresNum}個がファン支持数になります
limitedFesUserLogPop.title,スコア履歴,スコア履歴
limitedFesUserLogPop.notice,フェーズ%{fesLimitedPhaseOrder}はスコアの上位%{selectedScoresNum}個がファン支持数になります,フェーズ%{fesLimitedPhaseOrder}はスコアの上位%{selectedScoresNum}個がファン支持数になります
limitedFesUserLogPop.emptyNotice,プレイ履歴がありません,プレイ履歴がありません
limitedFesPhaseResultPop.title,各フェーズ結果,各フェーズ結果
unusedIdolFoilPop.title,未適用フォイル,未適用フォイル
unusedIdolFoilPop.notice1,アイドルより先に獲得したフォイルの一覧です,アイドルより先に獲得したフォイルの一覧です
unusedIdolFoilPop.notice2,該当のアイドルが加入することでフォイル化することができます,該当のアイドルが加入することでフォイル化することができます
unusedIdolFoilPop.emptyNotice,該当のアイドルのフォイルはありません,該当のアイドルのフォイルはありません
convertedFoilPop.title,フォイル変換,フォイル変換
convertedFoilPop.notice,未加入アイドルのフォイルは未適用フォイルに保存されます,未加入アイドルのフォイルは未適用フォイルに保存されます
foilGashaProvideItemsPop.title,提供一覧,提供一覧
foilGashaProvideItemsPop.emptyNotice,該当のアイドルのフォイルはありません,該当のアイドルのフォイルはありません
selectFoilMedalPop.title,使用メダル選択,使用メダル選択
useAlmightyFoilItem.useConfirmPop.title,使用確認,使用確認
useAlmightyFoilItem.useConfirmPop.message,%{itemName}を使用して\nアイドルをフォイル化します\nよろしいですか？,%{itemName}を使用して\nアイドルをフォイル化します\nよろしいですか？
useAlmightyFoilItem.useResultPop.title,使用結果,使用結果
useAlmightyFoilItem.useResultPop.message,以下のアイドルのフォイル化が完了しました！,以下のアイドルのフォイル化が完了しました！
useAlmightyFoilItem.notice,%{itemName}%{num}個で1人フォイル化できます,%{itemName}%{num}個で1人フォイル化できます
parallelSceneMenuPop.title,サブ画面メニュー,Sub Screen Menu
parallelSceneLayoutPop.title,コミュ並列閲覧,Commu Parallel Browsing
