ja,en
福丸小糸の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Koito Fukumaru
福丸小糸の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Koito Fukumaru
福丸小糸をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Koito Fukumaru as a Center, play Grade Fes Level 2 or above"
福丸小糸をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Koito Fukumaru as a Center, play Grade Fes Level 2 or above 3 times"
福丸小糸をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Koito Fukumaru as a Center, play Grade Fes Level 3 or above"
福丸小糸を含めた編成で営業を1回しよう,Have Koito Fukumaru complete 1 Job
福丸小糸を含めた編成で営業を5回しよう,Have Koito Fukumaru complete 5 Jobs
福丸小糸を含めた編成で営業を10回しよう,Have Koito Fukumaru complete 10 Jobs
福丸小糸を含めた編成で営業を20回しよう,Have Koito Fukumaru complete 20 Jobs
福丸小糸をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Koito Fukumaru with 400 or more Vocal
福丸小糸をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Koito Fukumaru with 400 or more Dance
福丸小糸をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Koito Fukumaru with 400 or more Visual
福丸小糸をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Koito Fukumaru with 400 or more Mental
福丸小糸をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Koito Fukumaru
福丸小糸をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Koito Fukumaru"
福丸小糸をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Koito Fukumaru"
福丸小糸をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Koito Fukumaru"
市川雛菜をホームユニットに編成しよう,Place Hinana Ichikawa in your home unit
市川雛菜を1回プロデュースしよう,Produce Hinana Ichikawa 1 time
市川雛菜を2回プロデュースしよう,Produce Hinana Ichikawa 2 times
市川雛菜を3回プロデュースしよう,Produce Hinana Ichikawa 3 times
市川雛菜を5回プロデュースしよう,Produce Hinana Ichikawa 5 times
市川雛菜をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Hinana Ichikawa
市川雛菜をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Hinana Ichikawa
市川雛菜の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Hinana Ichikawa
市川雛菜の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Hinana Ichikawa
市川雛菜の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Hinana Ichikawa
市川雛菜の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Hinana Ichikawa
市川雛菜をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Hinana Ichikawa as a Center, play Grade Fes Level 2 or above"
市川雛菜をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Hinana Ichikawa as a Center, play Grade Fes Level 2 or above 3 times"
市川雛菜をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Hinana Ichikawa as a Center, play Grade Fes Level 3 or above"
市川雛菜を含めた編成で営業を1回しよう,Have Hinana Ichikawa complete 1 Job
市川雛菜を含めた編成で営業を5回しよう,Have Hinana Ichikawa complete 5 Jobs
市川雛菜を含めた編成で営業を10回しよう,Have Hinana Ichikawa complete 10 Jobs
市川雛菜を含めた編成で営業を20回しよう,Have Hinana Ichikawa complete 20 Jobs
市川雛菜をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Hinana Ichikawa with 400 or more Vocal
市川雛菜をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Hinana Ichikawa with 400 or more Dance
市川雛菜をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Hinana Ichikawa with 400 or more Visual
市川雛菜をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Hinana Ichikawa with 400 or more Mental
市川雛菜をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Hinana Ichikawa
市川雛菜をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Hinana Ichikawa"
市川雛菜をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Hinana Ichikawa"
市川雛菜をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Hinana Ichikawa"
ホームボイス4（アイドルロード）,Home Voice 4 (Idol Road)
ラストアピール,Last Appeal
トップアピール,Top Appeal
トップ交代,Overtake Top
がっちりアピール,Top + Last Appeal
所属グレードボーナス,Grade Bonus
対戦相手能力ボーナス,Opponent Strength Bonus
完全掌握,Perfect Control
伝説の一瞬,Legendary Moment
パーフェクトライブ,Perfect Live
ご、合格……よ、よかった……！,ご、合格……よ、よかった……！
初心者ミッションを進めるプロデュースアイドルを選択しよう,Let's select a Produce Idol to move forward
初心者ミッションを進めるプロデュース\nアイドルを選択しよう,Let's select a Produce Idol to move forward
初心者ミッションでプロデュースのコツを掴んでいってくださいね～,Please learn some Producing tricks with the Beginner Missions~
プロデュースユニットを編成したら、\nアイドルのプロデュースを始めてみましょうか～,Let's start a Produce run once we've set up our Produce unit~
最初の一歩、踏み出せましたね\nこれからはアイドルのみなさんと一緒に、\n少しずつでもしっかり進んでいってください,"You've taken the first step.\nNow, please make gradual progress\nalong with your idols."
振り返りでスキルを習得してみましょう♪スキル習得に使うSPは「トークイベント」のお仕事で、たくさんもらう事ができますよ～♪,Let's Reminisce and learn some skills♪ You can get lots of SP for skills in the Talk Event room♪
イベント累計ファン数報酬が受け取れます,Received a Total Fan reward
イベント累計ファン数報酬獲得,Total Fan Reward
『市川雛菜様のご活躍を拝見し、\n是非とも、お話を伺いたいと────────』,"""I've been watching Ms. Hinana Ichikawa's accomplishments,\nand would love to interview them----"""
レッスンの様子,How are lessons
仕事の様子,How are jobs
「あとで再生」を選んだ場合、\n期間中ホーム画面で再度この確認が表示されます。,Selecting 「Play Later」\r\nwill make this popup appear again on\r\nthe home screen during the event.
2nd Anniversary特別ミッション,2nd Anniversary Missions
ファン感謝祭編をクリアしフェスアイドルを誕生させると解放,Please clear Thanks Flapping Day to unlock this mode.
ブロックごとのプロモーション活動を通してアイドルをプロデュースできます。ひらめきによって成長を促し、ファンの満足度を高めて『G.R.A.D.』優勝を目指しましょう！,"Produce an idol with Block Promotions. Using Inspiration to grow, raise your fan's excitement and aim to win the ""G.R.A.D."" championship!"
ショップイベント,Shop Event
商品プロモーション,Merch Promotion
チャンネル配信,TV Broadcast
「ユニット編成」の画面で編成チュートリアルを見てみましょう♪,Let's watch the tutorial on the 'Unit Setup' page♪
「ユニット編成」について説明します♪,I'll explain Unit Organization♪
ユニット編成ではプロデュースを担当する\n「プロデュースアイドル」1人と,"In a Unit, the idol you're in charge\nof Producing will be this 'Produce Idol'."
彼女をサポートする\n「サポートアイドル」5人の計6人で行います♪,"You'll Produce with 6 girls, the other\n5 will be supporting your Produce Idol♪"
プロデュースアイドルがどのような成長をするかは\n編成したサポートアイドルと\nスケジュールの組み方で左右されてきますよ～,How your idol grows will depend on\nthe support idols you pick\nand the schedule you set~
サポートアイドルのアイコンをタップして編成しましょう♪,Let's organizing by tapping this support's icon♪
例えばVocalが得意なプロデュースアイドルを\n育成したい場合には、「Vocal」に特化したスキルを\n多く持ったサポートアイドルを編成してみましょう～,"For example, if you have a Vocal focused\nProduce Idol, you'll want to create a unit\nwith a lot of Vocal focused Support Idols~"
所持スキルを確認したい時は、\nアイドルのアイコンを長押しして詳細を表示してください,"To check their skills, please long press\nan idol's icon to see their details now."
はい、こちらの画面で確認できます♪,"Right, you can check them on this screen♪"
「スキルパネル」はプロデュースアイドルが\nプロデュース中に覚えるためのものになります♪,Your Produce Idol can learn a Support Idol's\nSkill Panel skills during a Produce run♪
「ライブスキル」はオーディションやライブで\n審査員にアピールする時に使用するスキルです,Live Skills are skills used during auditions\nto appeal to the judges.
「パッシブスキル」は、ライブ中の審査員への\nアピール力をアップする効果や、プロデュースアイドルの\n基礎値上限をアップできたりするものです,"Passive skills include effects that\nincrease your appeal power, or\nraise the limit of your base stats."
続いてサポートアイドルの所持スキルを見てみましょう,Next let's look at the skills the Support knows
「所持スキル」は、サポートアイドルがプロデュース中に\n発動するスキルです。特訓やトレーニングでサポートアイ\nドルを強化することでスキルレベルがアップしますよ～,"Owned Skills are only active during a Produce\nrun. By evolving or training a support, these\nskills will level up~"
「ライブスキル」は、オーディションやライブで\n審査員にアピールする時に使用するスキルです,Live Skills are the appeals this idol\ncan use on judges during auditions or lives.
「サポートスキル」はプロデュース中に\nレッスンやお仕事をサポートしてくれるスキルです♪,Support Skills are skills that help out\nduring lessons and jobs in a Produce run♪
レッスンやお仕事を行った時に獲得できる基礎値が\n増えたり、体力の消費を抑えたり、プロデュースを\n助けてくれるスキルが多くあるんですよ～,"They have lots of different effects, from\nincreasing that stat gains of a lesson room,\nreducing stamina consumption, etc.~"
それでは実際に編成するため\n一度「サポートアイドル編成一覧」へ戻ってみましょう～,To actually set a unit let's \ngo back to the Support Idol list~
編成するサポートアイドルをタップしてみましょう♪,Let's tap a Support Idol to set them♪
以上で編成のチュートリアルは終了です。\nアイドルの詳細を見ながらプロデュース方針に\n合ったサポートアイドルを編成してあげてくださいね～,That ends this tutorial.\nPlease check the details of your\nsupport idols to form a plan of action~
【ほわっとスマイル】櫻木 真乃はVocalが得意ジャンルのよう\nです。Vocalを高め、ライブスキル「ほわっとスマイル」「ほ\nわっとスマイル+」の習得を目指しましょう。,This Mano is skilled in Vocal.\nLet's raise our Vocal and aim for both\nher live skills.
【柔らかな微笑み】風野 灯織はVisualが得意ジャンルのよ\nうです。Visualを高め、ライブスキル「柔らかな微笑み」\n「柔らかな微笑み+」の習得を目指しましょう。,This Hiori is skilled in Visual.\nLet's raise our Visual and aim for both\nher live skills.
【金色の元気いっぱいガール】八宮 めぐるはDanceが得意\nジャンルのようです。Danceを高め、ライブスキル「金色\nの元気いっぱいガール」「金色の元気いっぱいガール+」\nの習得を目指しましょう。,This Meguru is skilled in Dance.\nLet's raise our Dance and aim for both\nher live skills.
【ばりうまかブルース】月岡 恋鐘はVocalが得意ジャンルのよ\nうです。Vocalを高め、ライブスキル「ばりうまかブルース」\nと高倍率のアピールスキルの習得を目指しましょう。,This Kogane is skilled in Vocal.\nLet's raise our Vocal and aim for her\nlive skill and another strong\nVocal skill.
【お試し/みつゴコロ】三峰 結華はVisualが得意ジャンルのよ\nうです。Visualを高め、ライブスキル「お試し/みつゴコロ」\nと高倍率のアピールスキルの習得を目指しましょう。,This Yuika is skilled in Visual.\nLet's raise our Visual and aim for her\nlive skill and another strong\nVisual skill.
【トリッキーナイト】田中 摩美々はVisualが得意ジャンル\nのようです。Visualを高め、ライブスキル「トリッキーナ\nイト」と高倍率のアピールスキルの習得を目指しましょう。,This Mamimi is skilled in Visual.\nLet's raise our Visual and aim for her\nlive skill and another strong\nVisual skill.
【紺碧のボーダーライン】白瀬 咲耶はVisualが得意ジャンル\nのようです。Visualを高め、ライブスキル「紺碧のボーダー\nライン」と高倍率のアピールスキルの習得を目指しましょう。,This Sakuya is skilled in Visual.\nLet's raise our Visual and aim for her\nlive skill and another strong\nVisual skill.
【霧・音・燦・燦】幽谷 霧子はDanceが得意ジャンルのよう\nです。Danceを高め、ライブスキル「霧・音・燦・燦」と高\n倍率のアピールスキルの習得を目指しましょう。,This Kiriko is skilled in Dance.\nLet's raise our Dance and aim for her\nlive skill and another strong\nDance skill.
【第2形態アーマードタイプ】小宮 果穂はDanceが得意ジャ\nンルのようです。Danceを高め、ライブスキル「第2形態ア\nーマードタイプ」や高倍率のアピールスキルの習得を目指し\nましょう。,This Kaho is skilled in Dance.\nLet's raise our Dance and aim for her\nlive skill and another strong\nDance skill.
【ちょこ色×きらきらロマン】園田 智代子はDanceが得意ジャ\nンルのようです。Danceを高め、ライブスキル「ちょこ色×き\nらきらロマン」と高倍率のアピールスキルの習得を目指しま\nしょう。,This Chiyoko is skilled in Dance.\nLet's raise our Dance and aim for her\nlive skill and another strong\nDance skill.
【ラムネ色の覚悟】西城 樹里はVisualが得意ジャンルのよう\nです。Visualを高め、ライブスキル「ラムネ色の覚悟」と高\n倍率のアピールスキルの習得を目指しましょう。,This Juri is skilled in Visual.\nLet's raise our Visual and aim for her\nlive skill and another strong\nVisual skill.
【杜野凛世の印象派】杜野凛世はVocalが得意ジャンルのよう\nです。Vocalを高め、ライブスキル「杜野凛世の印象派」と高\n倍率のアピールスキルの習得を目指しましょう。,This Rinze is skilled in Vocal.\nLet's raise our Vocal and aim for her\nlive skill and another strong\nVocal skill.
【アルティメットマーメイド】有栖川 夏葉はVisualが得意\nジャンルのようです。Visualを高め、ライブスキル「アル\nティメットマーメイド」と高倍率のアピールスキルの習得を\n目指しましょう。,This Natsuha is skilled in Visual.\nLet's raise our Visual and aim for her\nlive skill and another strong\nVisual skill.
【スタンバイオッケー】大崎 甘奈はVocalが得意ジャンルのよ\nうです。Vocalを高め、ライブスキル「スタンバイオッケー」\nと高倍率のアピールスキルの習得を目指しましょう。,This Amana is skilled in Vocal.\nLet's raise our Vocal and aim for her\nlive skill and another strong\nVocal skill.
【マイ・ピュア・ロマンス】桑山 千雪はVisualが得意ジャン\nルのようです。Visualを高め、ライブスキル「マイ・ピュ\nア・ロマンス」と高倍率のアピールスキルの習得を目指しま\nしょう。,This Chiyuki is skilled in Visual.\nLet's raise our Visual and aim for her\nlive skill and another strong\nVisual skill.
【事務所。静寂。大輪の華】大崎 甜花はDanceが得意ジャン\nルのようです。Danceを高め、ライブスキル「事務所。静寂。\n大輪の華」と高倍率のアピールスキルの習得を目指しましょ\nう。,This Tenka is skilled in Dance.\nLet's raise our Dance and aim for her\nlive skill and another strong\nDance skill.
【ジャンプ！スタッグ！！！】芹沢 あさひはDanceが得意ジャ\nンルのようです。Danceを高め、ライブスキル「ジャンプ！\nスタッグ！！！」と高倍率のアピールスキルの習得を目指し\nましょう。,This Asahi is skilled in Dance.\nLet's raise our Dance and aim for her\nlive skill and another strong\nDance skill.
【オ♡フ♡レ♡コ】黛 冬優子はVisualが得意ジャンルのよう\nです。Visualを高め、ライブスキル「オ♡フ♡レ♡コ」と高\n倍率のアピールスキルの習得を目指しましょう。,This Fuyuko is skilled in Visual.\nLet's raise our Visual and aim for her\nlive skill and another strong\nVisual skill.
【ちょっとあげる～】和泉 愛依はVocalが得意ジャンルのよう\nです。Vocalを高め、ライブスキル「ちょっとあげる～」と高\n倍率のアピールスキルの習得を目指しましょう。,This Mei is skilled in Vocal.\nLet's raise our Vocal and aim for her\nlive skill and another strong\nVocal skill.
トークイベントに出演などでSPを累計100以上獲得しよう,Let's do Talk Shows until we have 100 SP
ラジオの収録などでメンタルを100以上にしよう,Let's do Radio Recordings until we have 100 Mental
ラジオの収録やトークイベントに出演などでファン数を1000人以上獲得しよう,Let's get 1000 fans by doing Talk Shows and Radio Recordings
トラブルを発生させずにシーズンをクリアしよう,Let's complete the season without hitting Trouble
トークイベントに出演などでSPを累計200以上獲得しよう,Let's do Talk Shows until we have 200 SP
ラジオの収録などでメンタルを230以上にしよう,Let's do Radio Recordings until we have 230 Mental
Visualを150以上にしよう,Let's raise Visual to 150
Vocalを150以上にしよう,Let's raise Vocal to 150
Danceを150以上にしよう,Let's raise Dance to 150
「夕方ワイド アイドル一番！」に1回合格しよう,Let's pass the 「夕方ワイド アイドル一番！」 audition once
ファン数を累計1万人以上獲得しよう,"Let's raise our fan count to 10,000"
トークイベントに出演などでSPを累計340以上獲得しよう,Let's do Talk Shows until we have 340 SP
ラジオの収録などでメンタルを300以上にしよう,Let's do Radio Recordings until we have 300 Mental
Visualを400以上にしよう,Let's raise Visual to 400
Vocalを400以上にしよう,Let's raise Vocal to 400
Danceを400以上にしよう,Let's raise Dance to 400
「SPOT LIGHTのせいにして…」に1回合格しよう,Let's clear the 「SPOT LIGHTのせいにして…」 audition once
「踊っていいとも？増刊号」に1回合格しよう,Let's clear the 「踊っていいとも？増刊号」 audition once
ファン数を累計10万人以上獲得しよう,"Let's raise our fan count to 100,000"
「オールアイドル感謝FESTIVAL」に2回合格しよう,Let's clear the 「オールアイドル感謝FESTIVAL」 audition twice
「THE LEGEND」に3回合格しよう,Let's clear the 「THE LEGEND」 audition three times
Visualを450以上にしよう,Let's raise Visual to 450
Vocalを450以上にしよう,Let's raise Vocal to 450
Danceを450以上にしよう,Let's raise Dance to 450
ファン数を累計50万人以上獲得しよう,"Let's raise our fan count to 500,000"
オーディションに参加しよう,Let's participate in Auditions
次回は目標に従って、シーズン毎に定められたオーディションで\n入賞できるように頑張ってみましょう♪\nシーズンクリアの基準となる『目標獲得ファン人数』も意識してみてください\nシーズン2までにライブスキルを習得、シーズン3以降は得意ジャンルと\nメンタルを高めて、得意ジャンルが流行1位のタイミングで\nオーディションに参加するプロデュース方針がおすすめですよ～,"To meet your objective next time,\nlet's do our best to beat the recommended auditions♪\nBe sure to keep an eye on the ""Fan Count Goal""\nLearn Live Skills for season 2, and raise your strong stat and mental\nstat for season 3. Let's keep challenging auditions when your\nspecialty is the #1 Trend, and don't give up～!"
True End研修:Vocal,True End Training:Vocal
True End研修:Dance,True End Training:Dance
True End研修:Visual,True End Training:Visual
フェスアイドル育成研修:Center,Fes Idol Training:Center
フェスアイドル育成研修:Leader,Fes Idol Training:Leader
フェスアイドル育成研修:Vocal,Fes Idol Training:Vocal
フェスアイドル育成研修:Dance,Fes Idol Training:Dance
フェスアイドル育成研修:Visual,Fes Idol Training:Visual
プロデュースの研修設定を,Continue with the
で保存しますか？,training settings?
研修設定はプロデュース中に変更できません,Settings can't be changed in Produce
研修はW.I.N.G.編でのみ有効となります,Training is only valid for W.I.N.G.
思い出アピールをLv.1以上にしよう,Let's reach Memory Appeal Lv.1 or higher
思い出アピールをLv.2以上にしよう,Let's reach Memory Appeal Lv.2 or higher
思い出アピールをLv.3以上にしよう,Let's reach Memory Appeal Lv.3 or higher
思い出アピールをLv.4以上にしよう,Let's reach Memory Appeal Lv.4 or higher
Visualを120以上にしよう,Let's raise Visual to 120
Vocalを120以上にしよう,Let's raise Vocal to 120
Danceを120以上にしよう,Let's raise Dance to 120
オーディションに参加してファン数を累計1万人以上獲得しよう,"Let's participate in Auditions to reach 10,000 fans"
オーディションに参加してファン数を累計5万人以上獲得しよう,"Let's participate in Auditions to reach 50,000 fans"
オーディションに参加してファン数を累計10万人以上獲得しよう,"Let's participate in Auditions to reach 100,000 fans"
Visualを180以上にしよう,Let's raise Visual to 180
Vocalを180以上にしよう,Let's raise Vocal to 180
Danceを180以上にしよう,Let's raise Dance to 180
Visualを250以上にしよう,Let's raise Visual to 250
Vocalを250以上にしよう,Let's raise Vocal to 250
Danceを250以上にしよう,Let's raise Dance to 250
メンタルを280以上にしよう,Let's raise Mental to 280
メンタルを160以上にしよう,Let's raise Mental to 160
トークイベントに出演などでSPを累計150以上獲得しよう,Let's do Talk Shows until we have 150 SP
トークイベントに出演などでSPを累計220以上獲得しよう,Let's do Talk Shows until we have 220 SP
トークイベントに出演などでSPを累計350以上獲得しよう,Let's do Talk Shows until we have 350 SP
ラジオの収録などでメンタルを400以上にしよう,Let's do Radio Recordings until we have 400 Mental
ラジオの収録などでメンタルを330以上にしよう,Let's do Radio Recordings until we have 330 Mental
Visualを200以上にしよう,Let's raise Visual to 200
Vocalを200以上にしよう,Let's raise Vocal to 200
Danceを200以上にしよう,Let's raise Dance to 200
メンタルを500以上にしよう,Let's raise Mental to 500
Visualを300以上にしよう,Let's raise Visual to 300
Vocalを300以上にしよう,Let's raise Vocal to 300
Danceを300以上にしよう,Let's raise Dance to 300
Visualを360以上にしよう,Let's raise Visual to 360
Vocalを360以上にしよう,Let's raise Vocal to 360
Danceを360以上にしよう,Let's raise Dance to 360
Visualを500以上にしよう,Let's raise Visual to 500
Vocalを500以上にしよう,Let's raise Vocal to 500
Danceを500以上にしよう,Let's raise Dance to 500
メンタル上限アップのスキルを1つ習得をしよう,Let's learn a Mental Cap increase skill
Vocal上限アップのスキルを1つ習得をしよう,Let's learn a Vocal Cap increase skill
Dance上限アップのスキルを1つ習得をしよう,Let's learn a Dance Cap increase skill
Visual上限アップのスキルを1つ習得をしよう,Let's learn a Visual Cap increase skill
Vocalアピール倍率2.5倍以上のライブスキルを習得しよう,Let's learn a Vocal 2.5x or higher Appeal
Danceアピール倍率2.5倍以上のライブスキルを習得しよう,Let's learn a Dance 2.5x or higher Appeal
Visualアピール倍率2.5倍以上のライブスキルを習得しよう,Let's learn a Visual 2.5x or higher Appeal
Vocalアピール倍率3倍以上のライブスキルを習得しよう,Let's learn a Vocal 3x or higher Appeal
Danceアピール倍率3倍以上のライブスキルを習得しよう,Let's learn a Dance 3x or higher Appeal
Visualアピール倍率3倍以上のライブスキルを習得しよう,Let's learn a Visual 3x or higher Appeal
Aブロック,A Block
シーズン中のボーカルレッスンの施設Lv.+3,Vocal Lesson Room Lv.+3 during Season
この街は音楽と共にある\n歩く音すらもリズムに変わる,This block is full of music.\nEven your footsteps move to the rhythm.
Bブロック,B Block
シーズン中のダンスレッスンの施設Lv.+3,Dance Lesson Room Lv.+3 during Season
ストリートスポーツが盛んな街\nさあ、身体を動かそう,"A block thriving with street sports.\nHey, let's move our body!"
Cブロック,C Block
シーズン中のビジュアルレッスンの施設Lv.+3,Visual Lesson Room Lv.+3 during Season
ファッション・アートの発信地\nここではセンスが武器になる,The origin of fashion and art.\nTaste and style are the law here.
Dブロック,D Block
シーズン中の全お仕事の施設Lv.+2,All Job Rooms Lv.+2 during Season
高層ビルが立ち並ぶオフィス街\n昼も夜も、未来が生まれる,An office city lined with high-rise buildings.\nCreating the future around the clock.
Leader適正 ○,Leader Qualification ○
フェスユニット編成時、Leaderに設定した際のポジションボーナスを＋10%,"When set in a Fes Unit as Leader, gains +10% position bonus"
Leader適正 ◎,Leader Qualification ◎
フェスユニット編成時、Leaderに設定した際のポジションボーナスを＋15%,"When set in a Fes Unit as Leader, gains +15% position bonus"
Vocal適正 ○,Vocal Qualification ○
フェスユニット編成時、Vocalに設定した際のポジションボーナスを＋10%,"When set in a Fes Unit as Vocal, gains +10% position bonus"
Vocal適正 ◎,Vocal Qualification ◎
フェスユニット編成時、Vocalに設定した際のポジションボーナスを＋15%,"When set in a Fes Unit as Vocal, gains +15% position bonus"
Dance適正 ○,Dance Qualification ○
フェスユニット編成時、Danceに設定した際のポジションボーナスを＋10%,"When set in a Fes Unit as Dance, gains +10% position bonus"
Dance適正 ◎,Dance Qualification ◎
フェスユニット編成時、Danceに設定した際のポジションボーナスを＋15%,"When set in a Fes Unit as Dance, gains +15% position bonus"
Visual適正 ○,Visual Qualification ○
フェスユニット編成時、Visualに設定した際のポジションボーナスを＋10%,"When set in a Fes Unit as Visual, gains +10% position bonus"
Visual適正 ◎,Visual Qualification ◎
フェスユニット編成時、Visualに設定した際のポジションボーナスを＋15%,"When set in a Fes Unit as Visual, gains +15% position bonus"
Center適正 ○,Center Qualification ○
フェスユニット編成時、Centerに設定した際のポジションボーナスを＋5%,"When set in a Fes Unit as Center, gains +5% position bonus"
Center適正 ◎,Center Qualification ◎
フェスユニット編成時、Centerに設定した際のポジションボーナスを＋10%,"When set in a Fes Unit as Center, gains +10% position bonus"
オールラウンダー○,All-Rounder ○
フェスユニット編成時、ポジションボーナスが＋5%,"When set in a Fes Unit, gains +5% position bonus"
オールラウンダー◎,All-Rounder ◎
フェスユニット編成時、ポジションボーナスが＋10%,"When set in a Fes Unit, gains +10% position bonus"
スロースターター,Slow Start
アピール値4~20％UP[経過ターンが長いほど効果UP],Appeal Strength 4~20％UP [Higher in later turns]
スタートダッシュ,Start Dash
アピール値2~10％UP[経過ターンが短いほど効果UP],Appeal Strength 2~10％UP [Higher in early turns]
人気者,Popular
審査員の興味3％UP,Judge Interest 3％UP
物静か,Quiet
審査員の興味3％DOWN,Judge Interest 3％DOWN
いずれかのひらめき×3,Any×3
いずれかのひらめき×4,Any×4
いずれかのひらめき×5,Any×5
いずれかのひらめき×8,Any×8
除去：メランコリー１,Remove: Melancholy 1
アピールフェイズ開始毎にメランコリー効果を5％の確率で除去,5% chance to remove Melancholy at the start of each Appeal Phase
除去：メランコリー２,Remove: Melancholy 2
アピールフェイズ開始毎にメランコリー効果を10％の確率で除去,10% chance to remove Melancholy at the start of each Appeal Phase
除去：リラックス１,Remove: Relax 1
アピールフェイズ開始毎にリラックス効果を5％の確率で除去,5% chance to remove Relax at the start of each Appeal Phase
除去：リラックス２,Remove: Relax 2
アピールフェイズ開始毎にリラックス効果を10％の確率で除去,10% chance to remove Relax at the start of each Appeal Phase
注目の的,Center of Attention
注目度が10％UP,Attention Rate 10％UP
ひかえめ,Low-Key
注目度が3％DOWN,Attention Rate 3％DOWN
Vocal上限＋,Vocal Limit+
Vocalの上限値＋50,Vocal Cap +50
Vocal上限＋＋,Vocal Limit++
Vocalの上限値＋75,Vocal Cap +75
Vocal上限＋＋＋,Vocal Limit+++
Vocalの上限値＋100,Vocal Cap +100
Dance上限＋,Dance Limit+
Danceの上限値＋50,Dance Cap +50
Dance上限＋＋,Dance Limit++
Danceの上限値＋75,Dance Cap +75
Dance上限＋＋＋,Dance Limit+++
Danceの上限値＋100,Dance Cap +100
Visual上限＋,Visual Limit+
Visualの上限値＋50,Visual Cap +50
Visual上限＋＋,Visual Limit++
Visualの上限値＋75,Visual Cap +75
Visual上限＋＋＋,Visual Limit+++
Visualの上限値＋100,Visual Cap +100
メンタル上限＋,Mental Limit+
メンタルの上限値＋50,Mental Cap +50
メンタル上限＋＋,Mental Limit++
メンタルの上限値＋75,Mental Cap +75
メンタル上限＋＋＋,Mental Limit+++
メンタルの上限値＋100,Mental Cap +100
ボーカルマスター,Vocal Mastery
アピールフェイズ開始毎にVocalDOWNステータス効果を100％の確率で除去,100% Chance to remove VocalDOWN Effect at the start of each Appeal Phase
ダンスマスター,Dance Mastery
アピールフェイズ開始毎にDanceDOWNステータス効果を100％の確率で除去,100% Chance to remove DanceDOWN Effect at the start of each Appeal Phase
ビジュアルマスター,Visual Mastery
アピールフェイズ開始毎にVisualDOWNステータス効果を100％の確率で除去,100% Chance to remove VisualDOWN Effect at the start of each Appeal Phase
パーフェクトリィ,Perfecthree
すべてのアピール値が10％UP,All Appeal Strength 10％UP
アピールUP（思い出高）,Appeal UP (High Memory)
アピール値2~10％UP[思い出ゲージが多いほど効果UP],Appeal Strength 2~10％UP [Higher at higher Memory Gauge]
アピールUP（思い出低）,Appeal UP (Low Memory)
アピール値4~20％UP[思い出ゲージが少ないほど効果UP],Appeal Strength 4~20％UP [Higher at lower Memory Gauge]
真乃×4,Mano×4
櫻木真乃との絆,Bond with Mano
櫻木真乃がユニットにいる場合、アピール値が＋5%UP,Appeal Strength +5% when Mano is set in the unit
灯織×4,Hiori×4
風野灯織との絆,Bond with Hiori
風野灯織がユニットにいる場合、アピール値が＋5%UP,Appeal Strength +5% when Hiori is set in the unit
めぐる×4,Meguru×4
八宮めぐるとの絆,Bond with Meguru
八宮めぐるがユニットにいる場合、アピール値が＋5%UP,Appeal Strength +5% when Meguru is set in the unit
恋鐘×4,Kogane×4
月岡恋鐘との絆,Bond with Kogane
月岡恋鐘がユニットにいる場合、アピール値が＋5%UP,Appeal Strength +5% when Kogane is set in the unit
魔美々×4,Mamimi×4
田中摩美々との絆,Bond with Mamimi
田中摩美々がユニットにいる場合、アピール値が＋5%UP,Appeal Strength +5% when Mamimi is set in the unit
咲耶×4,Sakuya×4
白瀬咲耶との絆,Bond with Sakuya
白瀬咲耶がユニットにいる場合、アピール値が＋5%UP,Appeal Strength +5% when Sakuya is set in the unit
結華×4,Yuika×4
三峰結華との絆,Bond with Yuika
